[168, 1422, 1295, 289, 718, 1284, 94, 666, 646, 144, 2000, 614, 203, 1492, 824, 137, 92, 1268, 228, 1836, 933, 266, 2623, 1311, 75, 2000, 0, 132, 2000, 547, 503, 736, 1399, 1952, 1043, 973, 1015, 920, 882, 1000]
[180, 1422, 705, 282, 698, 894, 152, 1919, 595, 238, 2481, 798, 203, 1519, 799, 152, 135, 1332, 220, 1836, 933, 290, 2000, 1304, 1136, 2754, 330, 188, 2597, 563, 461, 682, 1427, 190, 1030, 1045, 948, 869, 843, 1000]
[1875, 1437, 1316, 282, 1184, 840, 120, 683, 646, 175, 2000, 632, 203, 1492, 833, 111, 135, 1270, 141, 1836, 1668, 252, 2000, 1355, 41, 2754, -371, 132, 2000, 593, 503, 675, 879, 189, 1000, 644, 1000, 842, 889, 1000]
[180, 1416, 1282, 282, 700, 901, 94, 695, 646, 192, 2481, 601, 219, 1526, 844, 136, 184, 1311, 431, 1882, 933, 305, 2000, 1362, 91, 1776, -371, 137, 2000, 567, 529, 768, 1329, 146, 970, 1025, 1000, 869, 891, 1000]
[138, 1562, 1237, 245, 728, 867, 108, 747, 1666, 151, 2000, 623, 203, 1492, 824, 179, 135, 1255, 195, 1836, 921, 274, 2623, 1353, 73, 1392, 423, 132, 2000, 563, 471, 717, 1381, 183, 39, 974, 984, 919, 880, 1950]
[180, 1397, 1239, 311, 723, 817, 152, 695, 662, 249, 346, 1517, 205, 1489, 1858, 137, 135, 1261, 195, 1836, 947, 308, 2000, 1318, 133, 815, 1411, 82, 2000, 563, 520, 696, 1381, 91, 1000, 1000, 977, 891, 828, 1000]
[180, 1416, 1338, 282, 698, 322, 114, 701, 600, 195, 2000, 652, 235, 1464, 1487, 131, 158, 1311, 195, 1836, 960, 365, 2000, 1411, 78, 2000, 1380, 132, 2000, 617, 503, 717, 1340, 146, 1000, 1046, 1000, 81, 891, 1000]
[180, 1446, 1282, 224, 685, 808, 157, 695, 667, 142, 2481, 631, 205, 1479, 805, 642, 104, 1308, 179, 1836, 925, 340, 2623, 1362, 61, 2754, 515, 132, 2000, 562, 465, 760, 1381, 127, 983, 956, 967, 869, 861, 1000]
[233, 1422, 1282, 282, 646, 867, 145, 695, 646, 195, 2000, 1708, 197, 1200, 799, 1961, 135, 1311, 195, 1865, 908, 338, 2623, 1396, 37, 2000, -371, 128, 594, 589, 283, 718, 1381, 146, 955, 1000, 1000, 869, 837, 965]
[234, 1046, 1228, 311, 685, 866, 134, 193, 686, 166, 2000, 602, 213, 1512, 1296, 137, 135, 1311, 148, 1836, 933, 269, 2000, 1362, 78, 2754, 0, 132, 2000, 551, 508, 717, 1381, 118, 1000, 961, 987, 924, 863, 1009]
[121, 945, 1264, 574, 1000, 620, 136, 1000, 641, 153, 1037, 842, 1796, 1000, 1157, 133, 956, 1356, 294, 1000, 1084, 236, 1025, 630, 35, 1000, 674, 190, 949, 872, 554, 1183, 1371, 146, 971, 972, 1000, 1000, 1823, 1036]
