[719, 1004, 676, 1257, 1000, 1388, 828, 1016, 995, 980, 989, 1052, 947]
[700, 1046, 570, 1200, 1030, 1405, 837, 993, 796, 995, 670, 1020, 1028]
[709, 1020, 595, 1171, 1031, 1366, 964, 996, 992, 999, 996, 1029, 1026]
[712, 1009, 577, 1092, 999, 1414, 874, 983, 995, 979, 1011, 1010, 1004]
[718, 982, 578, 1254, 996, 1391, 105, 949, 1023, 1007, 1000, 1000, 1045]
[708, 1024, 608, 1177, 1000, 1365, 775, 1000, 1000, 997, 1574, 1015, 616]
[865, 986, 575, 1064, 1025, 1418, 895, 1000, 995, 999, 1000, 1020, 1012]
[714, 998, 571, 1037, 1007, 1375, 1201, 1009, 998, 1000, 1358, 1000, 1017]
[710, 1001, 553, 1048, 1000, 1394, 891, 1000, 592, 1041, 996, 993, 980]
[710, 1015, 550, 1048, 1000, 1381, 1551, 1000, 1000, 1000, 983, 1000, 994]
[704, 1013, 694, 1262, 1006, 1344, 777, 1008, 1000, 980, 998, 1055, 945]
[727, 1000, 490, 996, 1000, 1386, 1014, 1038, 972, 1000, 1723, 1000, 1037]
[703, 1030, 589, 1086, 1028, 1373, 1258, 999, 995, 996, 739, 1004, 995]
[730, 998, 644, 1313, 1008, 1339, 651, 800, 1007, 1000, 740, 1000, 1021]
[710, 950, 572, 1063, 1003, 1408, 917, 1014, 983, 1004, 1420, 1002, 979]
[716, 1020, 633, 1208, 685, 1402, 823, 968, 1002, 999, 998, 1028, 1041]
[618, 1011, 583, 1101, 981, 1394, 829, 998, 992, 998, 1014, 1025, 986]
[726, 1026, 549, 1035, 1000, 1210, 873, 1035, 974, 1000, 1391, 1000, 1007]
[707, 1010, 674, 1490, 1023, 1373, 839, 967, 1000, 997, 998, 1011, 974]
[710, 982, 555, 1035, 1004, 1400, 846, 1004, 995, 975, 1000, 1007, 1037]
[692, 962, 631, 1087, 1012, 1372, 689, 998, 1025, 999, 1045, 1036, 1021]
[714, 996, 527, 1128, 998, 1592, 125, 1011, 953, 1004, 1427, 1000, 1038]
[710, 1131, 518, 1010, 1053, 1344, 760, 949, 941, 985, 1463, 998, 1000]
[814, 1270, 563, 1245, 1013, 1582, 688, 987, 472, 998, 959, 1022, 1051]
[710, 981, 618, 1255, 1015, 1340, 656, 961, 996, 1015, 992, 999, 1470]
[715, 999, 569, 359, 1005, 1042, 1241, 963, 1002, 1000, 1000, 1000, 1024]
[710, 1014, 574, 1101, 981, 1396, 892, 972, 989, 976, 1018, 1000, 942]
[710, 970, 554, 1048, 1000, 1429, 892, 1008, 1037, 1042, 1045, 991, 1033]
[710, 985, 544, 1015, 579, 1388, 835, 989, 985, 1014, 962, 999, 1000]
[725, 970, 566, 1051, 989, 1438, 735, 990, 581, 1018, 1002, 1009, 1038]
[710, 1034, 550, 1213, 726, 1395, 235, 1000, 1003, 980, 981, 1000, 999]
[710, 981, 559, 1047, 566, 1400, 884, 1006, 996, 991, 1000, 1005, 1467]
[719, 990, 567, 1174, 1010, 1485, 1183, 1004, 1028, 1003, 1000, 1000, 1042]
[700, 1042, 602, 1053, 1007, 1379, 917, 978, 1013, 1000, 436, 1007, 1004]
[718, 861, 555, 1046, 955, 1405, 846, 981, 1012, 1022, 980, 993, 1054]
[743, 1050, 561, 1274, 1006, 1365, 837, 951, 522, 1000, 998, 1000, 1032]
[710, 1004, 660, 1241, 1059, 1393, 805, 1000, 1005, 1000, 998, 1029, 1000]
[710, 1000, 530, 1039, 1000, 1446, 892, 1000, 1001, 968, 996, 1000, 1011]
[710, 1055, 590, 1187, 996, 1396, 874, 986, 1006, 1001, 1130, 1008, 1724]
[678, 1029, 509, 1075, 1000, 1380, 834, 1019, 1152, 1000, 1688, 1000, 1013]
[712, 987, 652, 1271, 1000, 1363, 911, 1000, 1041, 1000, 991, 1023, 575]
