[195, 1000, 1442, 189, 1341, 1076, 103, 963, 797, 212, 1027, 519, 161, 957, 752, 992, 1000, 1148, 92, 971, 1212, 128, 1042, 1138, 431, 1000, 501, 112, 1000, 866, 101, 1015, 804, 157, 1000, 1093, 220, 1000, 1335, 174, 1000, 984, 1009, 1048, 1041, 1000]
[191, 1000, 1409, 893, 1000, 1013, 79, 570, 808, 172, 955, 480, 110, 969, 826, 355, 946, 1229, 99, 954, 1182, 128, 971, 1117, 392, 1000, 519, 163, 1000, 852, 157, 966, 764, 105, 960, 982, 220, 1000, 1327, 162, 950, 1038, 966, 1972, 1000, 1000]
[147, 1000, 1383, 1083, 957, 1110, 103, 940, 838, 254, 128, 502, 110, 1000, 753, 365, 985, 1198, 53, 1036, 1182, 173, 1000, 1149, 499, 1019, 499, 208, 1036, 855, 1847, 1000, 816, 106, 386, 1174, 220, 1000, 1371, 1291, 1000, 1042, 941, 1055, 837, 1007]
[165, 1000, 1551, 175, 1000, 1053, 162, 1035, 808, 209, 1020, 548, 110, 958, 845, 400, 948, 1204, 65, 983, 1215, 133, 972, 1167, 434, 988, 443, 768, 1030, 850, 187, 1265, 785, 86, 997, 1151, 220, 1000, 1377, 142, 1000, 1000, 954, 1037, 446, 869]
[79, 1004, 1392, 231, 1010, 1072, 81, 978, 860, 175, 1000, 508, 138, 1594, 846, 429, 1000, 1254, 62, 940, 1182, 128, 946, 1589, 460, 992, 431, 197, 1000, 852, 101, 945, 848, 123, 1059, 1107, 220, 1018, 1327, 157, 981, 956, 1000, 1056, 1000, 1000]
[190, 997, 1933, 189, 1022, 1164, 103, 975, 827, 208, 1002, 514, 89, 1016, 754, 411, 1000, 1236, 156, 1936, 1197, 144, 1056, 1162, 424, 1059, 499, 209, 1017, 819, 210, 1056, 799, 125, 1000, 1151, 220, 1000, 554, 178, 959, 1047, 1000, 981, 1000, 1005]
[79, 1049, 1340, 234, 946, 1141, 43, 1055, 211, 204, 1008, 459, 875, 1000, 804, 411, 987, 1204, 104, 998, 1141, 128, 956, 1193, 465, 1000, 549, 179, 988, 852, 178, 977, 829, 123, 1000, 1210, 220, 1035, 1327, 162, 1058, 1055, 1059, 996, 950, 981]
[81, 1000, 1417, 189, 964, 622, 72, 1004, 769, 212, 1000, 514, 114, 1547, 742, 402, 1035, 1223, 99, 1029, 1182, 159, 947, 1214, 445, 1028, 440, 119, 1013, 852, 157, 962, 807, 119, 1000, 1104, 180, 1030, 1285, 162, 992, 955, 1000, 1000, 951, 1000]
[110, 1000, 1335, 238, 988, 1167, 103, 999, 812, 212, 1000, 514, 167, 1008, 732, 1985, 968, 1251, 514, 1000, 1182, 165, 1000, 1167, 558, 976, 455, 175, 998, 802, 187, 1037, 1791, 126, 1027, 1140, 267, 1032, 1327, 162, 980, 1000, 943, 1000, 1048, 1000]
[86, 942, 1362, 181, 1000, 1112, 49, 1025, 808, 167, 960, 3, 110, 1000, 789, 439, 965, 1204, 99, 1000, 1397, 92, 1000, 1197, 443, 994, 499, 141, 1000, 886, 157, 1046, 807, 182, 1014, 1151, 194, 1005, 1367, 214, 1000, 1639, 1568, 1000, 1040, 1058]
