[10.095820222371842, 2.6860517435018694]
[-33.559599395048245, -70.56834562267169]
[98.06250000000001, 71.09374999999999]
[89.02331195406467, 91.06968615538938]
[73.1540164814741, 27.583388986876088]
[0.2, 0.2]
[1.0, 1.0]
[1.0, 1.0]
[0.4652096616482801, 1.0]
[0.1222869908193657, 0.04464572682469711]
[0.09699135678435696, 1.0]
